Date,Message,Network
05/03/2026 09:00,"Geopolitical risk is underpriced by most retail investors.

When Iran enriches uranium — oil spikes within hours.
When India-Pakistan tensions rise — gold bids up immediately.
When Taiwan headlines break — semiconductor stocks drop.

Most people see the news 12 hours late and wonder why their portfolio moved.

Orrery tracks 35 conflict zones in real time — with direct market impact mapped to stocks, oil, gold and crypto.

Free. No login. No paywall.
👉 orreryx.io/app

#GeopoliticalRisk #Investing #MacroIntelligence #GlobalMarkets",LinkedIn
05/03/2026 10:00,"Which geopolitical risk do you think markets are most underpricing right now?

A) Taiwan Strait 🇹🇼
B) Iran nuclear breakout 🇮🇷
C) India-Pakistan war 🇮🇳🇵🇰
D) Russia escalation 🇷🇺

Track all four live — free, no login:
👉 https://orreryx.io/app",Twitter
05/03/2026 18:00,"🇮🇳🇵🇰 INDIA-PAKISTAN: The most dangerous nuclear flashpoint on earth — right now.

~325 combined warheads. Active hostilities. Gold surging.

Track it live: https://orreryx.io/app

#IndiaPakistan #GeopoliticalRisk #Gold",Twitter
05/04/2026 09:00,"The Russia-Ukraine war has cost global markets an estimated $1.6 trillion in the first 6 months alone.

Most investors found out they were exposed after the fact.

Real-time geopolitical intelligence used to cost $24,000/year (Bloomberg terminal).

Orrery gives you the same conflict tracking, market impact mapping and AI analysis — completely free.

35 countries · Live feed · AI briefs · Video coverage per event

👉 orreryx.io/app

#Ukraine #Russia #GlobalRisk #Investing #MacroEconomics #Markets",LinkedIn
05/04/2026 10:00,"Gold is at all-time highs in 2026.

India-Pakistan war. Iran nuclear risk. Ukraine. US-China trade war.

All happening simultaneously.

Track what's driving every gold move: https://orreryx.io/app

#Gold #GeopoliticalRisk #SafeHaven",Twitter
05/04/2026 18:00,"Bloomberg charges $24,000/year for geopolitical intelligence.

Orrery gives you the same:
✅ Live conflict feed — 35 countries
✅ Market impact mapping
✅ AI analysis on demand
✅ Free. No account needed.

https://orreryx.io/app",Twitter
05/05/2026 09:00,"Iran's nuclear programme. North Korea's ICBM tests. China's Taiwan strait exercises.

These aren't just political events — they're market-moving signals that serious investors track daily.

Orrery is a free geopolitical intelligence platform that maps every major conflict to its asset class impact:
→ Oil and gas exposure
→ Gold and safe-haven flows
→ Defence and aerospace stocks
→ Emerging market currency risk

Used by analysts, portfolio managers and researchers across 40+ countries.

Free at orreryx.io/app

#GeopoliticalRisk #Commodities #DefenceStocks #MacroInvesting #Intelligence",LinkedIn
05/05/2026 10:00,"🇮🇷 Iran nuclear enrichment: 60% purity. Breakout time: weeks.

Strait of Hormuz = 20% of world's oil supply.

Any escalation = oil spike + gold surge.

Track it before it happens: https://orreryx.io/app

#Iran #Oil #GeopoliticalRisk",Twitter
05/05/2026 18:00,"35 countries. 9 languages. Live market impact.

🇺🇦 Ukraine → energy, defence stocks
🇮🇷 Iran → oil, Hormuz
🇹🇼 Taiwan → semiconductors, TSMC
🇮🇳🇵🇰 India-Pakistan → gold, EM equities

All free at: https://orreryx.io/app",Twitter
05/06/2026 09:00,"India-Pakistan conflict risk is at a multi-year high.

Both sides have nuclear capability. Active hostilities on the Line of Control. International mediation ongoing.

The market impact is already visible:
• Gold up on safe-haven demand
• Emerging market indices under pressure
• Energy prices elevated on regional instability

Orrery tracks this and 14 other active conflict zones in real time — with live price feeds mapped to each event.

Free: orreryx.io/app

#IndiaPakistan #GeopoliticalRisk #Gold #EmergingMarkets #MacroIntelligence",LinkedIn
05/06/2026 10:00,"The Doomsday Clock is at 89 seconds to midnight.

The closest in its 77-year history.

Active nuclear signalling. Iranian enrichment. ICBM tests. Taiwan exercises.

Every single one moves markets.

Track them live: https://orreryx.io/app

#DoomsdayClock #NuclearRisk #GeopoliticalRisk",Twitter
05/06/2026 18:00,"Before markets open tomorrow — check what's happening geopolitically.

Oil positions? Check Iran/Hormuz.
Gold positions? Check India-Pakistan + Ukraine.
Tech positions? Check Taiwan Strait.

Live tracker (free): https://orreryx.io/app",Twitter
05/07/2026 09:00,"What a Bloomberg Terminal won't tell you — but Orrery will:

✅ Which specific conflict is driving today's oil move
✅ Which country's risk score just changed and why
✅ Real-time AI brief on any breaking geopolitical event
✅ Video coverage from 25+ global news channels per country
✅ Market impact score for stocks, oil, gold and crypto

All of this. Free. No account needed.

The intelligence gap between institutional and retail investors is closing.

👉 orreryx.io/app

#FinancialIntelligence #Investing #GeopoliticalRisk #MacroEconomics #Markets #AI",LinkedIn
05/07/2026 10:00,"US-China trade war 2026: tariffs above 100%.

Semiconductor export bans. Critical mineral restrictions. Supply chain chaos.

Which stocks in your portfolio have China exposure?

Track the escalation live: https://orreryx.io/app

#USChina #TradeWar #Semiconductors #Investing",Twitter
05/07/2026 18:00,"Tariff war 2026 = stagflation risk.

Rising prices + slowing growth = worst environment for stocks.
Best environment for: gold, domestic manufacturers, defence.

Are you positioned? Track it: https://orreryx.io/app",Twitter
05/08/2026 09:00,"The Doomsday Clock is at 89 seconds to midnight — the closest in its 77-year history.

That's not just a headline. It reflects simultaneous:
• Active nuclear signalling by Russia
• Iranian enrichment at 60%
• North Korean ICBM tests
• China-Taiwan military exercises
• India-Pakistan active hostilities

Every one of these events has a direct, measurable market impact.

Track them all in real time at orreryx.io/app — free.

#DoomsdayClock #NuclearRisk #GeopoliticalRisk #GlobalMarkets #MacroInvesting",LinkedIn
05/08/2026 10:00,"Gold above $3,400.

The 5 drivers:
1. India-Pakistan nuclear risk
2. Ukraine war (year 4)
3. Iran nuclear tensions
4. Central bank de-dollarisation
5. US-China trade war stagflation

All tracked live: https://orreryx.io/app

#Gold #SafeHaven #GeopoliticalRisk",Twitter
05/08/2026 18:00,"Cotton futures spiking.

India + Pakistan = 35% of global cotton production.

Active military conflict between them = supply shock.

This is exactly the type of market signal Orrery tracks in real time.

Free: https://orreryx.io/app",Twitter
05/09/2026 10:00,"Geopolitical intelligence for the modern investor:

🌍 35 conflict zones tracked live
📊 Real-time market impact (oil, gold, crypto, indices)
🤖 AI analysis on demand
📡 9 languages, 45+ global news sources
🎥 Video coverage per country

This is what institutional desks pay millions for.
Orrery gives it to you free.

👉 orreryx.io/app

#GeopoliticalRisk #Investing #Intelligence #MacroEconomics #GlobalMarkets #OSINT",LinkedIn
05/09/2026 10:30,"🇰🇵 North Korea: ICBM tests accelerating.

South Korean won. Defence stocks. Safe-haven gold.

Every test sends a market signal.

Track it before the news cycle: https://orreryx.io/app

#NorthKorea #GeopoliticalRisk #DefenceStocks",Twitter
05/09/2026 18:00,"Free OSINT tool alert:

Orrery pulls live conflict data from GDELT — the world's largest open-source geopolitical database.

35 countries. 9 languages. 45+ news sources.

All mapped to market impact. All free.

https://orreryx.io/app

#OSINT #OpenData #Geopolitics",Twitter
05/10/2026 10:00,"Most investors think about geopolitical risk wrong.

They wait for the news. Then they react.

By the time a geopolitical event is on Bloomberg, oil has already moved. Gold has already spiked. The opportunity (and the risk) has already repriced.

Orrery monitors 35 conflict zones 24/7 — updating every 2 minutes.

You see the signal before the mainstream narrative forms.

Free. No account needed. orreryx.io/app

#GeopoliticalRisk #EarlyWarning #Investing #MacroIntelligence",LinkedIn
05/10/2026 10:30,"Ukraine war: year 4.

Western support fatigue. Russian advances. Ceasefire talks stalling.

European energy exposure. Defence stocks. Wheat prices.

All still moving on Ukraine headlines.

Track it live: https://orreryx.io/app

#Ukraine #Russia #GeopoliticalRisk",Twitter
05/10/2026 18:00,"Taiwan Strait 2026:

China military exercises increasing frequency.
TSMC = 90% of world's advanced chips.
Any Taiwan conflict = semiconductor supply shock.

Your tech portfolio is exposed.

Track the risk: https://orreryx.io/app

#Taiwan #Semiconductors #GeopoliticalRisk",Twitter
05/11/2026 09:00,"The 2026 tariff war is the most significant trade disruption since the 1930s.

US tariffs on China: 100%+
EU retaliation: underway
Canada, Japan, India: retaliating

The result: stagflation risk for the global economy.

For investors this means:
→ Reduce China-revenue tech exposure
→ Increase gold allocation (inflation hedge)
→ Consider domestic-focused equities
→ Watch for supply chain reshoring winners

Orrery tracks every tariff escalation and retaliation in real time — mapped to affected sectors and assets.

Free at orreryx.io/app

#TariffWar #TradeWar #Stagflation #Investing #MacroEconomics",LinkedIn
05/11/2026 10:30,"Saudi Arabia. Iran. Israel. Yemen.

The Middle East has 4 active flashpoints simultaneously.

All connected to oil prices.

Orrery tracks every development with live Brent crude correlation.

Free: https://orreryx.io/app

#MiddleEast #Oil #GeopoliticalRisk",Twitter
05/11/2026 18:00,"Geopolitical events your portfolio is probably exposed to right now:

🇺🇦 Ukraine → European energy stocks, wheat
🇮🇷 Iran → Oil, shipping
🇹🇼 Taiwan → Semiconductors, Apple, TSMC
🇮🇳🇵🇰 India-Pak → Gold, EM equities, cotton

All live. All free: https://orreryx.io/app",Twitter
05/12/2026 09:00,"Here's what most financial media gets wrong about geopolitical risk:

They cover the event AFTER markets have moved.

Orrery is designed for the opposite — monitoring early signals before they become mainstream news.

Conflict escalation patterns. Nuclear alert levels. Troop movements. Sanctions signals.

35 countries tracked 24/7. 9 languages. AI analysis on any event.

The investors who win are the ones who see risk building before it's priced in.

Free at orreryx.io/app

#GeopoliticalRisk #Investing #EarlyWarning #Intelligence #MacroEconomics",LinkedIn
05/12/2026 10:30,"Russia nuclear doctrine: updated to allow nuclear use at lower threshold.

This is one of the most significant policy changes of the decade.

What does it mean for markets? Orrery's AI brief breaks it down instantly.

https://orreryx.io/app

#Russia #NuclearRisk #GeopoliticalRisk",Twitter
05/12/2026 18:00,"Defence stocks in 2026:

Every conflict escalation = demand signal for:
→ RTX (Raytheon)
→ LMT (Lockheed Martin)
→ NOC (Northrop Grumman)
→ BAE Systems

Track conflict escalation before it hits earnings:
https://orreryx.io/app

#DefenceStocks #Investing #GeopoliticalRisk",Twitter
05/13/2026 10:30,"Gold vs Bitcoin as safe haven:

When India-Pakistan tensions spiked — gold surged. Bitcoin was volatile.
When Iran launched strikes on Israel — gold hit ATH. Bitcoin dipped.

Geopolitical risk favours gold. Every time.

Track both live: https://orreryx.io/app

#Gold #Bitcoin #SafeHaven",Twitter
05/13/2026 18:00,"The world's most important oil choke points:

🚢 Strait of Hormuz (Iran) — 20% of world's oil
🚢 Suez Canal (Egypt/Yemen) — 12% of global trade
🚢 Strait of Malacca (SE Asia) — 25% of world's oil

Any disruption = global energy shock.

Monitor all three live: https://orreryx.io/app",Twitter
05/14/2026 09:00,"China has been buying gold at record rates for 3 consecutive years.

This isn't a trade — it's a strategic de-dollarisation move.

The weaponisation of SWIFT against Russia taught every sovereign nation the same lesson: USD reserves can be frozen. Gold cannot.

Central bank gold buying is now a structural floor under gold prices.

Combined with active geopolitical crises and inflation risk — gold's bull case in 2026 is the strongest it's been in 50 years.

Track the geopolitical drivers of gold live: orreryx.io/app

#Gold #CentralBanks #Dedollarisation #GeopoliticalRisk #Investing",LinkedIn
05/14/2026 10:30,"Iran nuclear breakout timeline 2026:

Enrichment: 60% (weapons grade = 90%)
Stockpile: enough for multiple weapons
Breakout time: weeks

This is why oil carries a permanent geopolitical risk premium.

Track it: https://orreryx.io/app

#Iran #Nuclear #Oil #GeopoliticalRisk",Twitter
05/14/2026 18:00,"Geopolitical risk isn't a 'tail risk' anymore.

It's the baseline.

5 simultaneous crises. All with direct market exposure.

Orrery maps every one to your asset class.

Free. No login: https://orreryx.io/app",Twitter
05/15/2026 09:00,"Most retail investors are significantly overexposed to geopolitical risk without knowing it.

Here's a quick portfolio audit:

→ Do you hold any tech stocks? → Taiwan semiconductor risk
→ Do you hold oil/energy? → Middle East + Iran risk
→ Do you hold EM funds? → India-Pakistan + Russia risk
→ Do you hold European stocks? → Ukraine energy exposure
→ Do you hold agriculture? → Ukraine wheat + India-Pakistan cotton risk

Orrery maps all of these in real time — showing which geopolitical events are moving which asset classes today.

Free. No account needed: orreryx.io/app

#GeopoliticalRisk #PortfolioManagement #Investing #MacroEconomics",LinkedIn
05/15/2026 10:30,"Wheat prices in 2026:

Ukraine = world's breadbasket. Still at war.
India-Pakistan = major wheat producers. Active conflict.

Global food inflation risk is being underpriced.

Track the agricultural impact: https://orreryx.io/app

#Wheat #FoodInflation #GeopoliticalRisk",Twitter
05/15/2026 18:00,"Nuclear-armed states in active or near-active conflict right now:

🇮🇳🇵🇰 India vs Pakistan — active hostilities
🇷🇺 Russia — nuclear signalling against NATO
🇮🇱 Israel — conventional strikes, nuclear-capable state

This is historically unprecedented.

Track it all: https://orreryx.io/app",Twitter
05/16/2026 10:00,"The intelligence gap between institutional and retail investors is closing.

Hedge funds pay $24,000/year for Bloomberg terminals. $50,000+ for geopolitical risk services.

Orrery gives retail investors the same real-time conflict tracking, market impact mapping and AI analysis — completely free.

35 countries. 45+ news sources. Updated every 2 minutes.

The information advantage is yours if you use it.

👉 orreryx.io/app

#RetailInvesting #GeopoliticalRisk #Intelligence #LevelPlayingField",LinkedIn
05/16/2026 10:30,"Copper prices = global economic health indicator.

China slowdown (trade war) + supply disruptions = copper bear signal.

Orrery tracks the geopolitical events that move copper prices in real time.

https://orreryx.io/app

#Copper #Commodities #USChina #GeopoliticalRisk",Twitter
05/16/2026 18:00,"The 5 assets that move most on geopolitical risk:

1. 🥇 Gold — nuclear events, wars
2. 🛢️ Oil — Middle East, Hormuz
3. 💵 USD/CHF — safe-haven flows
4. ✈️ Defence stocks — conflict escalation
5. 🌾 Agricultural commodities — war zones

All tracked live: https://orreryx.io/app",Twitter
05/17/2026 10:00,"A quick geopolitical risk education thread for investors:

Not all geopolitical risks are equal. Here's the hierarchy:

🔴 TIER 1 (Market-critical): Nuclear events, major power war, Hormuz closure
🟠 TIER 2 (Significant): Middle East escalation, sanctions, major elections
🟡 TIER 3 (Monitored): Proxy conflicts, coup attempts, territorial disputes

Most investors only track Tier 2 and 3 events — and miss the Tier 1 signals building underneath.

Orrery monitors all three tiers simultaneously, 24/7.

Free at orreryx.io/app

#GeopoliticalRisk #Investing #RiskManagement #Intelligence",LinkedIn
05/17/2026 10:30,"Uranium prices 2026:

Nuclear energy comeback. Energy security crisis. AI data centre power demand.

And now: nuclear risk headlines driving safe-haven buying.

Two separate uranium trade theses playing simultaneously.

Track both: https://orreryx.io/app

#Uranium #NuclearEnergy #GeopoliticalRisk",Twitter
05/17/2026 18:00,"The countries adding the most geopolitical risk to markets right now:

1. 🇮🇳🇵🇰 India-Pakistan (nuclear, active)
2. 🇮🇷 Iran (nuclear breakout proximity)
3. 🇷🇺 Russia (nuclear doctrine, Ukraine)
4. 🇨🇳 China (Taiwan, trade war)
5. 🇰🇵 North Korea (ICBM programme)

All on Orrery. All free: https://orreryx.io/app",Twitter
05/18/2026 09:00,"The US-China trade war is not about trade deficits.

It's about who controls the technology that defines military and economic power for the next 50 years.

Semiconductors. AI chips. Rare earth minerals. Quantum computing.

The tariff war is the visible surface. Underneath is a full-spectrum competition for technological dominance.

For investors: this is a decade-long structural trend, not a negotiation that ends with a deal.

Track US-China escalation and its market impact live: orreryx.io/app

#USChina #Semiconductors #AIChips #TradeWar #GeopoliticalRisk #MacroInvesting",LinkedIn
05/18/2026 10:30,"AI chips + geopolitics = the trade of the decade.

US bans NVIDIA exports to China.
China restricts rare earths used in chip manufacturing.

Both sides escalating. Both sides exposed.

Track the tech war live: https://orreryx.io/app

#AI #Semiconductors #USChina #GeopoliticalRisk",Twitter
05/18/2026 18:00,"Investors who beat the market in geopolitical events share one trait:

They see the risk BUILDING — not just HAPPENING.

Orrery monitors 35 conflict zones 24/7. You see escalation patterns before they become market-moving events.

Free: https://orreryx.io/app",Twitter
05/19/2026 09:00,"If you only follow one intelligence signal in 2026, make it the India-Pakistan situation.

Two nuclear-armed states. Active military exchanges. International mediation ongoing.

The markets have partially priced it — but a further escalation or a ceasefire breakthrough both create significant trading opportunities.

Gold, Indian equities, cotton futures, emerging market ETFs — all directly in play.

Orrery tracks every LoC incident, diplomatic development and nuclear risk signal in real time.

Free at orreryx.io/app

#IndiaPakistan #GeopoliticalRisk #Gold #EmergingMarkets #NuclearRisk",LinkedIn
05/19/2026 10:30,"Natural gas in Europe 2026:

Ukraine war = energy supply uncertainty.
Russian leverage = ongoing.
LNG import infrastructure = still being built.

European energy is still a geopolitical trade.

Track it: https://orreryx.io/app

#NaturalGas #Europe #Ukraine #GeopoliticalRisk",Twitter
05/19/2026 18:00,"One chart that explains why gold is at record highs in 2026:

Central bank gold purchases vs US dollar reserves held globally.

One line going up. One going down. For 3 years straight.

De-dollarisation is the structural bid under gold.

Track the geopolitical drivers: https://orreryx.io/app",Twitter
05/20/2026 09:00,"The ceasefire that most investors are watching in 2026:

India-Pakistan.

A successful ceasefire → Indian equity rally, gold pullback, cotton futures normalise.
A failed ceasefire + further escalation → continued gold surge, EM selloff, cotton spike.

Both scenarios are investable if you're tracking the signals in real time.

Orrery monitors ceasefire status, diplomatic signals and LoC incident frequency — mapped directly to market impact scenarios.

Free at orreryx.io/app

#IndiaPakistan #Ceasefire #GeopoliticalRisk #Investing #EmergingMarkets",LinkedIn
05/20/2026 10:30,"Silver: the overlooked 2026 trade.

Gold at ATH → silver catching up.
Solar panel demand + geopolitical safe-haven bid.
Industrial + monetary = double demand driver.

Track silver's geopolitical drivers: https://orreryx.io/app

#Silver #Gold #SafeHaven #GeopoliticalRisk",Twitter
05/20/2026 18:00,"A simple framework for geopolitical investing:

🔴 Escalation → Buy: gold, oil, defence, USD
🟢 De-escalation → Buy: EM equities, risk assets
🟡 Stalemate → Watch: commodities, positioning

Orrery tells you which phase each conflict is in. Live.

https://orreryx.io/app",Twitter
05/21/2026 10:30,"Markets that are directly exposed to the India-Pakistan conflict:

📉 Nifty 50 — Indian equities
📉 INR/USD — Indian rupee
📈 Gold — safe-haven
📈 Cotton futures — supply shock
📈 Global defence ETFs

Track all live: https://orreryx.io/app

#IndiaPakistan #Nifty50 #Gold #Investing",Twitter
05/21/2026 18:00,"Weekend reading: why geopolitical risk is the most underanalysed factor in retail investment portfolios.

The professionals track it daily. Most retail investors check the news.

That gap = the intelligence premium.

Close it: https://orreryx.io/app

#WeekendRead #Investing #GeopoliticalRisk",Twitter
05/22/2026 09:00,"How to think about oil prices in 2026:

There are three separate risk premiums stacked on top of each other:

1. The Iran premium (~$5-10/barrel): Hormuz closure threat
2. The Middle East premium (~$3-7/barrel): regional instability
3. The trade war premium (~$2-5/barrel): demand destruction risk

When these premiums compress (de-escalation) — oil can drop sharply.
When they expand (escalation) — oil spikes fast.

Orrery gives you the real-time intelligence to see which direction each premium is moving.

Free at orreryx.io/app

#Oil #OilPrice #Iran #GeopoliticalRisk #MacroInvesting",LinkedIn
05/22/2026 10:30,"The 3 geopolitical events that would most spike oil prices in 2026:

1. Iran closing the Strait of Hormuz (+$50-100/bbl)
2. Major Israel-Iran exchange (+$20-40/bbl)
3. Saudi Arabia infrastructure attack (+$15-30/bbl)

Track the probability of each in real time: https://orreryx.io/app

#Oil #Iran #GeopoliticalRisk",Twitter
05/22/2026 18:00,"The best free resource for geopolitical market intelligence in 2026:

👉 orreryx.io/app

35 countries. 9 languages. Live market impact. AI analysis. Video coverage.

Save it. Use it before markets open every day.",Twitter
05/23/2026 10:00,"In 2026, geopolitical risk has gone from background noise to the dominant market driver.

The investors who understand this have a structural edge.

The investors who don't are getting hit by moves they don't understand and can't predict.

Orrery was built for exactly this environment.

Free. No login. Updated every 2 minutes.

orreryx.io/app

If you find it useful, share it with one person who invests. That's all I ask.

#GeopoliticalRisk #Investing #MacroIntelligence #Markets",LinkedIn
05/23/2026 10:30,"Russia has updated its nuclear doctrine.

Lower threshold. Broader conditions for use.

This is not a drill — it's a policy shift designed to signal.

What it means for markets: elevated European safe-haven premium, sustained gold bid.

Track it: https://orreryx.io/app

#Russia #Nuclear #GeopoliticalRisk",Twitter
05/23/2026 18:00,"Your pre-market checklist for Monday:

☑️ India-Pakistan: ceasefire status?
☑️ Iran: any nuclear headlines?
☑️ Ukraine: frontline movement?
☑️ US-China: any tariff announcements?
☑️ Gold/Oil: overnight moves?

All on one screen: https://orreryx.io/app",Twitter
05/24/2026 10:00,"The rare earth mineral war is the least covered and most important geopolitical story of 2026.

China controls 80%+ of global rare earth processing.
Gallium, germanium, antimony — all restricted for export.
These minerals are in every advanced weapon system, EV, wind turbine and AI chip.

The US-China tech war isn't just about tariffs. It's about who controls the physical inputs to the next industrial revolution.

Orrery tracks US-China escalation signals and their impact on tech, defence and clean energy stocks in real time.

Free at orreryx.io/app

#RareEarths #USChina #GeopoliticalRisk #Semiconductors #DefenceStocks",LinkedIn
05/24/2026 10:30,"5 stocks that move most on geopolitical events:

1. $GLD — gold ETF (safe-haven)
2. $USO — oil ETF (Middle East, Hormuz)
3. $LMT — Lockheed Martin (defence escalation)
4. $TSM — TSMC (Taiwan risk)
5. $GDX — gold miners (nuclear risk)

Track the signals that move them: https://orreryx.io/app",Twitter
05/24/2026 18:00,"Geopolitical intelligence isn't just for institutions anymore.

Orrery gives every investor the same real-time conflict tracking that hedge funds pay millions for.

For free.

No login. No paywall. No delay.

https://orreryx.io/app

#Investing #GeopoliticalRisk #RetailInvestors",Twitter
05/25/2026 10:30,"Oil at current levels already has a significant geopolitical risk premium baked in.

If India-Pakistan de-escalates + Iran deal progress = oil falls sharply.
If either conflict escalates further = oil spikes.

The directional trade is clear. The timing is the intelligence question.

Track it live: https://orreryx.io/app

#Oil #Iran #IndiaPakistan #GeopoliticalRisk",Twitter
05/25/2026 18:00,"The most important geopolitical intelligence habit:

Check Orrery before markets open.

Not after.

35 countries. Live market impact. Free.

https://orreryx.io/app",Twitter
05/26/2026 09:00,"Most people check the financial news in the morning.

Smart investors check the geopolitical news the night before.

Because by the time financial media is covering a geopolitical development, the market has already moved.

Orrery monitors 35 conflict zones 24 hours a day, 7 days a week. Updated every 2 minutes.

You see the escalation building. You see the de-escalation signals. Before the price moves.

Free. No account needed.

orreryx.io/app

#GeopoliticalRisk #MacroIntelligence #Investing #EarlyWarning",LinkedIn
05/26/2026 10:30,"The countries you should be watching in 2026 that most investors aren't:

🇾🇪 Yemen (Houthi Red Sea attacks — shipping)
🇸🇩 Sudan (African commodity disruption)
🇲🇲 Myanmar (SE Asia supply chain)
🇻🇪 Venezuela (oil supply)

All on Orrery: https://orreryx.io/app

#FrontierRisk #GeopoliticalRisk #Commodities",Twitter
05/26/2026 18:00,"Gold at $3,400+. Oil elevated. Defence stocks outperforming.

The geopolitical risk premium is real and it's not going away in 2026.

The question is: are you positioned for it?

Intelligence platform: https://orreryx.io/app",Twitter
05/27/2026 09:00,"If 2026 has taught investors one thing, it's this:

Geopolitical risk is not a tail event. It's the default state.

We have:
→ An active nuclear flashpoint (India-Pakistan)
→ Nuclear threshold country at war (Russia-Ukraine)
→ Near-nuclear-capable state (Iran)
→ The largest trade war since the 1930s (US-China)
→ Simultaneous Middle East conflicts

This is not a temporary risk environment. It's the new structural reality.

Build your intelligence capability for it.

Orrery is free. orreryx.io/app

#GeopoliticalRisk #Investing #MacroEconomics #NewReality",LinkedIn
05/27/2026 10:30,"Emerging markets 2026 — risk/reward map:

🔴 Avoid: India (war risk), Pakistan (collapse risk)
🟡 Caution: China (trade war), Turkey (inflation)
🟢 Watch: Vietnam, Mexico, India (if ceasefire)

Geopolitical risk is the dominant EM factor right now.

Track it: https://orreryx.io/app

#EmergingMarkets #GeopoliticalRisk #Investing",Twitter
05/27/2026 18:00,"If you're not tracking geopolitical risk in 2026, you're essentially investing blindfolded.

5 simultaneous crises.
All moving markets.
All tracked live on one screen.

Free: https://orreryx.io/app

#Investing #GeopoliticalRisk",Twitter
05/28/2026 09:00,"The single most important question for gold investors in 2026:

What happens to gold if India-Pakistan signs a ceasefire?

Answer: A short-term correction (safe-haven demand reduces) followed by continued structural support from central bank buying and Iran/Ukraine risk.

The floor has risen. A ceasefire might trim the peak — but the structural bull case for gold is intact.

Track the signals that matter for gold: orreryx.io/app

#Gold #IndiaPakistan #GeopoliticalRisk #Investing #SafeHaven",LinkedIn
05/28/2026 10:30,"The India-Pakistan ceasefire status right now:

📍 Negotiations: ongoing
📍 LoC violations: continuing
📍 Nuclear alert level: elevated
📍 International pressure: US + Saudi + China mediating

Track every development live: https://orreryx.io/app

#IndiaPakistan #Ceasefire #GeopoliticalRisk",Twitter
05/28/2026 18:00,"The reason most people lose money on geopolitical trades:

They react to events instead of anticipating signals.

Orrery is built for anticipation — monitoring escalation patterns, not just events.

Free: https://orreryx.io/app",Twitter
05/29/2026 09:00,"A framework for thinking about geopolitical risk in your portfolio:

STEP 1: Identify your exposure (which asset classes do you hold?)
STEP 2: Map the conflict risk (which conflicts affect those assets?)
STEP 3: Monitor the signals (what are the early warning indicators?)
STEP 4: Set your scenarios (what happens in escalation vs de-escalation?)
STEP 5: Size your hedge (gold allocation, options, position reduction)

Orrery covers Steps 2 and 3 for you — in real time, for free.

orreryx.io/app

#GeopoliticalRisk #RiskManagement #Portfolio #Investing",LinkedIn
05/29/2026 10:30,"Which conflict is most likely to cause the next major market move?

My view: Iran nuclear — because a breakout or a strike both create immediate, severe oil shocks.

The market is not fully pricing this in.

Track the Iran situation live: https://orreryx.io/app

#Iran #Nuclear #Oil #GeopoliticalRisk",Twitter
05/29/2026 18:00,"What's on Orrery right now:

🇮🇳🇵🇰 India-Pakistan: active conflict monitoring
🇮🇷 Iran: nuclear enrichment tracker
🇺🇦 Ukraine: frontline + ceasefire signals
🇨🇳 China: Taiwan + trade war
🇰🇵 NK: missile programme

All live. All free: https://orreryx.io/app",Twitter
05/30/2026 10:00,"We built Orrery for one reason:

The biggest market moves of the last decade have all been geopolitical.

Russia invades Ukraine → energy markets collapse.
Iran-Israel exchange → gold hits ATH.
India-Pakistan escalation → EM selloff, gold surge.
US-China tariffs → tech selloff, supply chain chaos.

Every single time, the investors who were monitoring these signals in advance were better positioned.

Orrery is free so that every investor — not just institutions — can access this intelligence.

orreryx.io/app

#GeopoliticalRisk #Investing #WhyWeBuiltThis",LinkedIn
05/30/2026 10:30,"Mid-year check: the geopolitical risks that have surprised markets most in 2026:

1. India-Pakistan escalation to military exchanges
2. Gold above $3,400 (ATH)
3. US tariffs hitting allies as hard as China
4. Iran nuclear timeline acceleration

What's next? Track the signals: https://orreryx.io/app

#GeopoliticalRisk #MidYear2026 #Investing",Twitter
05/30/2026 18:00,"30 days of tracking geopolitical risk changes how you invest.

You stop reacting. You start anticipating.

Try it for free: https://orreryx.io/app",Twitter
05/31/2026 10:00,"June outlook: the 3 geopolitical scenarios that will define markets:

🔴 Bearish: India-Pakistan re-escalation + Iran strike = gold $3,800, oil $100+, EM selloff
🟡 Base: Status quo — elevated risk premium, gold $3,200-3,500, oil $75-90
🟢 Bullish: India-Pakistan ceasefire + Iran deal progress = EM rally, gold correction to $3,000, risk-on

Monitor which scenario is developing in real time: https://orreryx.io/app

#GeopoliticalRisk #Investing #JuneOutlook #MacroEconomics",Twitter
05/31/2026 18:00,"End of May. Markets moved by geopolitics more than fundamentals in 2026.

That's not changing.

The investors who understand this have the edge.

Build yours for free: https://orreryx.io/app

#GeopoliticalRisk #Investing #May2026",Twitter
